2024-05-21 19:36:58,166 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:37:03,322 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:03,324 - INFO - Polyanet created at (16, 6).
2024-05-21 19:37:03,459 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:03,462 - INFO - Polyanet created at (16, 7).
2024-05-21 19:37:03,597 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:03,601 - INFO - Soloon created at (16, 8).
2024-05-21 19:37:03,745 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:03,749 - INFO - Polyanet created at (16, 12).
2024-05-21 19:37:03,916 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:03,919 - INFO - Polyanet created at (16, 14).
2024-05-21 19:37:04,040 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:04,043 - INFO - Polyanet created at (16, 19).
2024-05-21 19:37:04,164 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:04,168 - INFO - Polyanet created at (16, 20).
2024-05-21 19:37:04,304 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:04,308 - INFO - Soloon created at (16, 21).
2024-05-21 19:37:04,427 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:04,431 - INFO - Polyanet created at (17, 5).
2024-05-21 19:37:04,557 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:04,561 - INFO - Polyanet created at (17, 11).
2024-05-21 19:37:04,708 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:37:09,813 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:37:14,958 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:14,961 - INFO - Soloon created at (17, 14).
2024-05-21 19:37:15,102 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:15,105 - INFO - Polyanet created at (17, 15).
2024-05-21 19:37:15,238 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:15,241 - INFO - Polyanet created at (17, 21).
2024-05-21 19:37:15,382 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:37:15,387 - INFO - Cometh created at (17, 24).
2024-05-21 19:37:15,525 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:15,529 - INFO - Polyanet created at (18, 5).
2024-05-21 19:37:15,896 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:15,900 - INFO - Soloon created at (18, 6).
2024-05-21 19:37:16,027 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:16,030 - INFO - Polyanet created at (18, 11).
2024-05-21 19:37:16,166 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:16,169 - INFO - Polyanet created at (18, 15).
2024-05-21 19:37:16,307 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:16,310 - INFO - Polyanet created at (18, 21).
2024-05-21 19:37:16,439 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:16,440 - INFO - Soloon created at (18, 22).
2024-05-21 19:37:16,546 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:37:21,707 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:21,709 - INFO - Polyanet created at (19, 4).
2024-05-21 19:37:21,841 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:21,844 - INFO - Polyanet created at (19, 10).
2024-05-21 19:37:22,076 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:22,080 - INFO - Soloon created at (19, 11).
2024-05-21 19:37:22,224 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:22,228 - INFO - Polyanet created at (19, 16).
2024-05-21 19:37:22,373 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:22,377 - INFO - Polyanet created at (19, 22).
2024-05-21 19:37:22,510 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:37:22,514 - INFO - Cometh created at (20, 0).
2024-05-21 19:37:22,634 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:22,638 - INFO - Polyanet created at (20, 4).
2024-05-21 19:37:22,763 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:22,767 - INFO - Polyanet created at (20, 10).
2024-05-21 19:37:22,896 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:22,900 - INFO - Polyanet created at (20, 16).
2024-05-21 19:37:23,029 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:23,031 - INFO - Polyanet created at (20, 22).
2024-05-21 19:37:23,133 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:37:28,257 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
2024-05-21 19:37:33,406 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:33,408 - INFO - Polyanet created at (21, 3).
2024-05-21 19:37:33,527 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:33,530 - INFO - Polyanet created at (21, 8).
2024-05-21 19:37:33,656 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:33,659 - INFO - Polyanet created at (21, 9).
2024-05-21 19:37:33,796 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:33,800 - INFO - Soloon created at (21, 10).
2024-05-21 19:37:34,015 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:34,020 - INFO - Soloon created at (21, 16).
2024-05-21 19:37:34,195 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:34,199 - INFO - Polyanet created at (21, 17).
2024-05-21 19:37:34,320 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
